unit_id,season,season_revenue,season_room_nights,season_bookings,season_adr,season_score_1_10,season_percentile
100 LaFave South: Temple of Sinawava,High,118730.0,232,81,511.77,2.741935483870968,19.4
101 LaFave South: The Sentinel,High,120550.0,240,83,502.29,3.0322580645161286,22.6
102 LaFave South: The Watchman,High,85735.0,203,74,422.34,1.870967741935484,9.7
103 LaFave South: The Zion Suite,High,50280.0,124,45,405.48,1.0,0.0
200 LaFave South: Angels Landing,High,214305.0,225,71,952.47,9.70967741935484,96.8
201 LaFave South: Checkerboard Mesa,High,149210.0,196,63,761.28,6.806451612903224,64.5
202 LaFave South: Echo Canyon,High,148400.0,200,63,742.0,5.935483870967742,54.8
203 LaFave South: Emerald Pools,High,174270.0,213,62,818.17,8.258064516129032,80.6
204 LaFave South: Hidden Canyon,High,136060.0,214,85,635.79,5.064516129032257,45.2
205 LaFave South: Kolob Arch,High,129120.0,202,73,639.21,4.193548387096774,35.5
206 LaFave South: Mountain of the Sun,High,149920.0,202,65,742.18,7.096774193548387,67.7
207 LaFave South: Mystery Falls,High,148540.02,198,65,750.2,6.225806451612902,58.1
208 LaFave South: Northgate Peaks,High,121060.01,192,65,630.52,3.32258064516129,25.8
209 LaFave South: Orderville Canyon,High,123770.0,204,68,606.72,3.612903225806451,29.0
210 LaFave South: The Subway,High,148850.0,186,60,800.27,6.516129032258065,61.3
211 LaFave South: The Narrows,High,197655.0,211,65,936.75,9.129032258064514,90.3
300 LaFave South: Bridge Mountain,High,62055.0,79,27,785.51,1.2903225806451613,3.2
301 LaFave South: West Temple,High,69475.0,77,25,902.27,1.5806451612903225,6.5
302 LaFave South: The Gallery House,High,193780.0,144,40,1345.69,8.548387096774192,83.9
400 LaFave North: The Sundial,High,109530.0,230,81,476.22,2.161290322580645,12.9
500 LaFave North: Big Springs,High,156450.0,218,70,717.66,7.677419354838709,74.2
