Date,Day of the week,Greenhouse,Greenhouse ADA,Greenhouse Pet Friendly,Spyglass,Spyglass ADA,Spyglass Pet Friendly,Comments
7/16/2027,Fri,506,506,506,607,607,607,
7/17/2027,Sat,686,686,686,824,824,824,
7/18/2027,Sun,401,401,401,481,481,481,
7/19/2027,Mon,345,345,345,414,414,414,
7/20/2027,Tue,345,345,345,414,414,414,
7/21/2027,Wed,345,345,345,414,414,414,
7/22/2027,Thu,378,378,378,453,453,453,
7/23/2027,Fri,506,506,506,607,607,607,
7/24/2027,Sat,686,686,686,824,824,824,
7/25/2027,Sun,401,401,401,481,481,481,
7/26/2027,Mon,345,345,345,414,414,414,
7/27/2027,Tue,345,345,345,414,414,414,
7/28/2027,Wed,345,345,345,414,414,414,
7/29/2027,Thu,378,378,378,453,453,453,
7/30/2027,Fri,506,506,506,607,607,607,
7/31/2027,Sat,686,686,686,824,824,824,
8/1/2027,Sun,472,472,472,566,566,566,
8/2/2027,Mon,406,406,406,487,487,487,
8/3/2027,Tue,406,406,406,487,487,487,
8/4/2027,Wed,406,406,406,487,487,487,
8/5/2027,Thu,445,445,445,533,533,533,
8/6/2027,Fri,595,595,595,714,714,714,
8/7/2027,Sat,807,807,807,969,969,969,
8/8/2027,Sun,472,472,472,566,566,566,
8/9/2027,Mon,406,406,406,487,487,487,
8/10/2027,Tue,406,406,406,487,487,487,
8/11/2027,Wed,406,406,406,487,487,487,
8/12/2027,Thu,445,445,445,533,533,533,
8/13/2027,Fri,595,595,595,714,714,714,
8/14/2027,Sat,807,807,807,969,969,969,
8/15/2027,Sun,472,472,472,566,566,566,
8/16/2027,Mon,406,406,406,487,487,487,
8/17/2027,Tue,406,406,406,487,487,487,
8/18/2027,Wed,406,406,406,487,487,487,
8/19/2027,Thu,445,445,445,533,533,533,
8/20/2027,Fri,595,595,595,714,714,714,
8/21/2027,Sat,807,807,807,969,969,969,
8/22/2027,Sun,472,472,472,566,566,566,
8/23/2027,Mon,406,406,406,487,487,487,
8/24/2027,Tue,406,406,406,487,487,487,
8/25/2027,Wed,406,406,406,487,487,487,
8/26/2027,Thu,445,445,445,533,533,533,
8/27/2027,Fri,595,595,595,714,714,714,
8/28/2027,Sat,807,807,807,969,969,969,
8/29/2027,Sun,472,472,472,566,566,566,
8/30/2027,Mon,406,406,406,487,487,487,
8/31/2027,Tue,406,406,406,487,487,487,
9/1/2027,Wed,406,406,406,487,487,487,
9/2/2027,Thu,445,445,445,533,533,533,
9/3/2027,Fri,684,684,684,821,821,821,Labor Day
9/4/2027,Sat,928,928,928,1114,1114,1114,Labor Day
9/5/2027,Sun,543,543,543,651,651,651,Labor Day
9/6/2027,Mon,467,467,467,560,560,560,Labor Day
9/7/2027,Tue,406,406,406,487,487,487,
9/8/2027,Wed,406,406,406,487,487,487,
9/9/2027,Thu,445,445,445,533,533,533,
9/10/2027,Fri,595,595,595,714,714,714,
9/11/2027,Sat,807,807,807,969,969,969,
9/12/2027,Sun,472,472,472,566,566,566,
9/13/2027,Mon,406,406,406,487,487,487,
