date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-05-29,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,5,Saturday,1025,2524.0,-1499.0,1499.0
2027-03-26,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,3,Friday,1025,2521.0,-1496.0,1496.0
2027-03-27,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,3,Saturday,925,2420.0,-1495.0,1495.0
2027-09-05,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Sunday,1525,3013.0,-1488.0,1488.0
2027-05-28,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,5,Friday,1025,2501.0,-1476.0,1476.0
2027-05-28,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,5,Friday,1025,2501.0,-1476.0,1476.0
2027-05-02,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Sunday,1500,2958.0,-1458.0,1458.0
2027-10-14,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Thursday,1525,2961.0,-1436.0,1436.0
2027-09-02,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Thursday,1525,2961.0,-1436.0,1436.0
2027-10-15,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Friday,1525,2961.0,-1436.0,1436.0
2027-09-16,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Thursday,1525,2961.0,-1436.0,1436.0
2027-10-21,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Thursday,1525,2961.0,-1436.0,1436.0
2027-10-08,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Friday,1525,2961.0,-1436.0,1436.0
2027-09-09,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Thursday,1525,2961.0,-1436.0,1436.0
2027-09-10,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Friday,1525,2961.0,-1436.0,1436.0
2027-09-24,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Friday,1525,2961.0,-1436.0,1436.0
2027-10-29,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Friday,1525,2961.0,-1436.0,1436.0
2027-10-28,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Thursday,1525,2961.0,-1436.0,1436.0
2027-09-30,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Thursday,1525,2961.0,-1436.0,1436.0
2027-10-07,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Thursday,1525,2961.0,-1436.0,1436.0
2027-10-01,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Friday,1525,2961.0,-1436.0,1436.0
2027-10-22,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,10,Friday,1525,2961.0,-1436.0,1436.0
2027-09-23,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Thursday,1525,2961.0,-1436.0,1436.0
2027-11-26,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Shoulder,11,Friday,1475,2908.0,-1433.0,1433.0
2027-04-24,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,4,Saturday,1025,2456.0,-1431.0,1431.0
2027-04-24,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,4,Saturday,1025,2456.0,-1431.0,1431.0
2027-05-28,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,5,Friday,925,2353.0,-1428.0,1428.0
2027-06-25,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Friday,1500,2926.0,-1426.0,1426.0
2027-05-28,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,5,Friday,1025,2432.0,-1407.0,1407.0
2027-04-09,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Friday,1500,2904.0,-1404.0,1404.0
2027-04-08,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Thursday,1500,2904.0,-1404.0,1404.0
2027-04-01,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Thursday,1500,2904.0,-1404.0,1404.0
2027-05-21,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Friday,1500,2900.0,-1400.0,1400.0
2027-03-26,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,3,Friday,925,2324.0,-1399.0,1399.0
2027-05-20,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Thursday,1500,2886.0,-1386.0,1386.0
2027-05-31,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,5,Monday,1025,2388.0,-1363.0,1363.0
2027-05-31,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,5,Monday,1025,2388.0,-1363.0,1363.0
2027-02-27,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Off,2,Saturday,1250,2602.0,-1352.0,1352.0
2027-09-06,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Monday,1525,2865.0,-1340.0,1340.0
2027-03-22,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Monday,1500,2836.0,-1336.0,1336.0
2027-03-23,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Tuesday,1500,2836.0,-1336.0,1336.0
2027-04-30,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,4,Friday,925,2260.0,-1335.0,1335.0
2027-06-19,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Saturday,1500,2830.0,-1330.0,1330.0
2027-04-30,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,4,Friday,1025,2345.0,-1320.0,1320.0
2027-03-24,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,3,Wednesday,1025,2344.0,-1319.0,1319.0
2027-03-07,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Sunday,1500,2805.0,-1305.0,1305.0
2027-05-31,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,5,Monday,1025,2321.0,-1296.0,1296.0
2027-05-31,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,5,Monday,1025,2321.0,-1296.0,1296.0
2027-09-04,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2366.0,-1266.0,1266.0
2027-09-04,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2366.0,-1266.0,1266.0
2027-06-24,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Thursday,1500,2763.0,-1263.0,1263.0
2027-03-28,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Sunday,1500,2760.0,-1260.0,1260.0
2027-04-30,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,4,Friday,1025,2278.0,-1253.0,1253.0
2027-04-30,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,4,Friday,1025,2278.0,-1253.0,1253.0
2027-03-24,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,3,Wednesday,925,2166.0,-1241.0,1241.0
2027-05-31,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,5,Monday,925,2164.0,-1239.0,1239.0
2027-09-19,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Sunday,1525,2761.0,-1236.0,1236.0
2027-11-25,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Shoulder,11,Thursday,825,2057.0,-1232.0,1232.0
2027-11-25,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Shoulder,11,Thursday,825,2057.0,-1232.0,1232.0
2027-04-17,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Saturday,1500,2731.0,-1231.0,1231.0
2027-06-05,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Saturday,1500,2714.0,-1214.0,1214.0
2027-05-30,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Spring Peak,5,Sunday,1025,2233.0,-1208.0,1208.0
2027-05-30,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,5,Sunday,1025,2233.0,-1208.0,1208.0
2027-09-04,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2300.0,-1200.0,1200.0
