source,season,room_type,dow,rate
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Tue,346
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Wed,352
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Thu,421
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Fri,421
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Sat,456
draft_matrix,shoulder,Suite SMALL (1BR/1BA),Sun,372
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Mon,540
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Tue,540
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Wed,547
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Thu,649
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Fri,649
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Sat,700
draft_matrix,shoulder,Deluxe Villa (2BR/1BA),Sun,576
draft_matrix,shoulder,Premium Villa (2BR/2BA),Mon,672
draft_matrix,shoulder,Premium Villa (2BR/2BA),Tue,672
draft_matrix,shoulder,Premium Villa (2BR/2BA),Wed,680
draft_matrix,shoulder,Premium Villa (2BR/2BA),Thu,802
draft_matrix,shoulder,Premium Villa (2BR/2BA),Fri,802
draft_matrix,shoulder,Premium Villa (2BR/2BA),Sat,863
draft_matrix,shoulder,Premium Villa (2BR/2BA),Sun,715
draft_matrix,shoulder,Villa Game (2BR/2BA),Mon,745
draft_matrix,shoulder,Villa Game (2BR/2BA),Tue,745
draft_matrix,shoulder,Villa Game (2BR/2BA),Wed,754
draft_matrix,shoulder,Villa Game (2BR/2BA),Thu,887
draft_matrix,shoulder,Villa Game (2BR/2BA),Fri,887
draft_matrix,shoulder,Villa Game (2BR/2BA),Sat,954
draft_matrix,shoulder,Villa Game (2BR/2BA),Sun,792
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Mon,884
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Tue,884
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Wed,894
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Thu,1045
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Fri,1045
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Sat,1120
draft_matrix,shoulder,J.MT. Villa (3BR/2BA),Sun,938
draft_matrix,shoulder,Premier Villa (3BR/3BA),Mon,981
draft_matrix,shoulder,Premier Villa (3BR/3BA),Tue,981
draft_matrix,shoulder,Premier Villa (3BR/3BA),Wed,992
draft_matrix,shoulder,Premier Villa (3BR/3BA),Thu,1157
draft_matrix,shoulder,Premier Villa (3BR/3BA),Fri,1157
draft_matrix,shoulder,Premier Villa (3BR/3BA),Sat,1239
draft_matrix,shoulder,Premier Villa (3BR/3BA),Sun,1039
