unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
Juniper Haus,2025-03,15,23,8731.0,379.61,201.0,833.0
Spyglass,2025-03,16,30,17781.0,592.7,256.5,1302.0
Pecan Haus,2025-03,15,24,7895.0,328.96,186.0,603.0
Lantana Dome,2025-03,12,23,12172.0,529.22,224.0,847.0
Walnut House,2025-03,14,23,14432.0,627.48,281.0,1029.0
Cedar Haus,2025-03,15,22,7911.0,359.59,183.0,640.5
Monarch,2025-04,16,29,18423.0,635.28,257.5,1054.5
Bluebonnet,2025-04,13,24,9893.0,412.21,199.0,806.0
Spyglass,2025-04,16,21,13506.0,643.14,300.0,1345.5
Cedar Haus,2025-04,14,21,6640.0,316.19,181.0,496.0
Lantana Dome,2025-04,13,22,10472.0,476.0,213.0,849.5
Cocoon,2025-04,12,22,11931.0,542.32,244.0,1208.0
Walnut House,2025-04,15,21,14052.0,669.14,232.0,2229.0
Live Oak Lodge,2025-04,12,20,13326.0,666.3,230.5,1290.0
Pecan Haus,2025-04,14,20,7807.0,390.35,181.0,652.0
Sage Safari,2025-04,18,24,11831.0,492.96,169.0,1195.0
Juniper Haus,2025-04,18,24,7543.0,314.29,161.0,769.0
Buckeye Bungalow,2025-04,12,21,8852.0,421.52,187.0,864.5
Live Oak Lodge,2025-05,18,31,17455.0,563.06,179.0,1402.0
Juniper Haus,2025-05,16,23,7916.0,344.17,196.0,533.0
Monarch,2025-05,12,19,11818.0,622.0,303.0,1188.0
Lantana Dome,2025-05,20,27,13211.0,489.3,225.5,1334.0
Pecan Haus,2025-05,13,27,9046.0,335.04,196.0,623.0
Sage Safari,2025-05,16,30,14365.0,478.83,243.0,1000.0
Spyglass,2025-05,17,27,15847.0,586.93,237.5,1145.0
Buckeye Bungalow,2025-05,14,25,12413.0,496.52,234.0,1134.0
Bluebonnet,2025-05,10,19,7696.0,405.05,234.0,686.0
Walnut House,2025-05,13,23,12881.0,560.04,253.0,994.0
Cedar Haus,2025-05,15,22,6868.0,312.18,189.0,601.0
Cocoon,2025-05,14,24,11751.0,489.62,225.5,874.6666666666666
Cocoon,2025-06,14,26,9687.0,372.58,197.0,519.0
Sage Safari,2025-06,15,27,12242.0,453.41,218.0,749.0
Spyglass,2025-06,14,24,12518.0,521.58,254.0,1031.0
Diamond,2025-06,2,4,2287.0,571.75,278.0,669.6666666666666
Live Oak Lodge,2025-06,11,19,9590.0,504.74,312.5,672.5
Monarch,2025-06,15,24,12176.0,507.33,264.0,1031.0
Bluebonnet,2025-06,16,22,9097.0,413.5,235.0,642.0
Buckeye Bungalow,2025-06,12,24,10095.0,420.62,259.25,778.0
Pecan Haus,2025-06,12,22,8488.0,385.82,192.0,767.0
Lantana Dome,2025-06,13,24,11543.0,480.96,278.0,743.5
Cedar Haus,2025-06,13,18,5002.0,277.89,160.0,410.0
Walnut House,2025-06,13,22,9630.0,437.73,246.5,670.0
Juniper Haus,2025-06,15,26,7389.0,284.19,175.5,434.5
Monolith,2025-06,2,3,1507.0,502.33,440.0,627.0
Great Lodge: King Room,2025-06,4,4,1136.0,284.0,211.0,377.0
Cypress Lodge | Sleeps 6,2025-06,1,1,587.0,587.0,587.0,587.0
Post Oak,2025-06,2,2,618.0,309.0,284.0,334.0
Cypress Lodge | Sleeps 2,2025-06,2,3,772.0,257.33,229.0,314.0
Quonset,2025-06,1,2,685.0,342.5,342.5,342.5
Winecup,2025-06,1,1,369.0,369.0,369.0,369.0
Monarch,2025-07,12,25,13184.0,527.36,274.0,1118.0
Bluebonnet,2025-07,16,26,9005.0,346.35,186.0,682.5
Sage Safari,2025-07,13,26,10993.0,422.81,244.0,641.0
Spyglass,2025-07,19,30,14895.0,496.5,210.0,987.0
Cypress Lodge | Sleeps 2,2025-07,11,15,4483.0,298.87,203.0,412.0
Great Lodge: King Room,2025-07,47,69,22534.0,326.58,167.0,755.0
Walnut House,2025-07,13,27,12214.0,452.37,264.5,628.5
Winecup,2025-07,6,11,3706.0,336.91,227.0,519.0
Post Oak,2025-07,12,22,7575.0,344.32,170.0,594.0
Cocoon,2025-07,12,17,5241.0,308.29,174.0,505.0
Lantana Dome,2025-07,17,25,10102.0,404.08,216.0,714.3333333333334
Cedar Haus,2025-07,15,21,5354.0,254.95,167.5,431.5
Live Oak Lodge,2025-07,8,15,7990.0,532.67,263.0,701.0
Cypress Lodge | Sleeps 6,2025-07,10,17,9902.0,582.47,171.0,1209.5
Buckeye Bungalow,2025-07,12,20,6497.0,324.85,224.0,560.0
Monolith,2025-07,24,42,19799.0,471.4,84.33333333333333,960.0
Cypress Lodge | Sleeps 4,2025-07,10,16,7288.0,455.5,204.0,865.0
Quonset,2025-07,18,31,12285.0,396.29,204.33333333333337,720.0
Diamond,2025-07,24,40,17431.0,435.78,74.0,879.0
Pecan Haus,2025-07,4,6,1908.0,318.0,204.0,468.0
Juniper Haus,2025-07,5,7,1941.0,277.29,204.0,368.0
Spiral,2025-07,8,14,4983.0,355.93,216.0,483.0
Post Oak,2025-08,11,19,6206.0,326.63,177.0,557.0
Live Oak Lodge,2025-08,16,27,12542.0,464.52,217.0,1113.0
Sage Safari,2025-08,16,30,10535.0,351.17,191.0,538.6666666666666
Spyglass,2025-08,11,21,10031.0,477.67,215.66666666666663,805.0
Cedar Haus,2025-08,6,9,2889.0,321.0,253.5,353.0
Lantana Dome,2025-08,15,23,9296.0,404.17,175.0,818.0
Monarch,2025-08,13,23,11794.0,512.78,275.0,838.0
Quonset,2025-08,15,24,11245.0,468.54,306.5,664.0
Monolith,2025-08,28,53,27558.0,519.96,254.0,1043.0
Buckeye Bungalow,2025-08,12,22,9206.0,418.45,222.0,786.0
Cypress Lodge | Sleeps 4,2025-08,10,18,7352.0,408.44,186.0,658.0
Cypress Lodge | Sleeps 6,2025-08,5,9,4990.0,554.44,263.0,800.5
Juniper Haus,2025-08,10,14,4246.0,303.29,163.5,542.0
Diamond,2025-08,25,46,24025.0,522.28,209.5,841.5
Cypress Lodge | Sleeps 2,2025-08,19,30,9813.0,327.1,203.0,590.0
Walnut House,2025-08,17,26,9902.0,380.85,114.0,729.0
Great Lodge: King Room,2025-08,45,76,24635.0,324.14,147.0,491.0
Cocoon,2025-08,1,1,483.0,483.0,483.0,483.0
Winecup,2025-08,17,26,10672.0,410.46,207.0,572.5
Pecan Haus,2025-08,1,3,563.0,187.67,187.66666666666663,187.66666666666663
Bluebonnet,2025-08,10,18,6472.0,359.56,223.0,696.5
Spiral,2025-08,7,10,4292.0,429.2,217.5,712.0
Bluebonnet,2025-09,11,21,6911.0,329.1,201.0,611.0
Monarch,2025-09,15,21,9872.0,470.1,207.0,936.0
Live Oak Lodge,2025-09,12,25,12873.0,514.92,264.5,822.0
Juniper Haus,2025-09,8,14,3855.0,275.36,204.0,412.0
Pecan Haus,2025-09,5,7,2146.0,306.57,227.5,376.0
Sage Safari,2025-09,15,28,9879.0,352.82,224.0,717.0
Quonset,2025-09,16,25,8570.0,342.8,100.0,490.0
Spyglass,2025-09,19,27,11678.0,432.52,244.0,940.0
Diamond,2025-09,27,49,21068.0,429.96,216.0,702.0
Winecup,2025-09,6,12,5052.0,421.0,321.5,464.6666666666667
Monolith,2025-09,29,49,21755.0,443.98,218.0,757.3333333333334
Post Oak,2025-09,11,17,5711.0,335.94,204.0,471.0
Cocoon,2025-09,7,9,2687.0,298.56,186.0,418.0
Walnut House,2025-09,13,22,8055.0,366.14,228.5,658.5
Lantana Dome,2025-09,17,25,8663.0,346.52,186.0,611.0
Cypress Lodge | Sleeps 4,2025-09,9,15,6681.0,445.4,177.5,675.0
Cypress Lodge | Sleeps 2,2025-09,13,25,7733.0,309.32,184.0,498.0
Cedar Haus,2025-09,5,10,3121.0,312.1,204.0,493.0
Buckeye Bungalow,2025-09,12,19,5940.0,312.63,186.0,539.5
Spiral,2025-09,7,15,6594.0,439.6,259.0,673.5
Great Lodge: King Room,2025-09,22,30,8891.0,296.37,188.0,427.0
Cypress Lodge | Sleeps 6,2025-09,7,9,3764.0,418.22,264.0,602.0
Spyglass,2025-10,12,24,14825.0,617.71,254.5,1104.0
Cedar Haus,2025-10,12,18,5153.0,286.28,197.0,415.0
Live Oak Lodge,2025-10,12,26,22916.0,881.38,276.6666666666667,3192.0
Bluebonnet,2025-10,11,16,6285.0,392.81,183.5,674.0
Quonset,2025-10,21,34,15091.0,443.85,161.0,726.0
Monolith,2025-10,28,48,32223.0,671.31,260.0,1354.5
Lantana Dome,2025-10,14,25,13109.0,524.36,205.0,929.5
Cypress Lodge | Sleeps 4,2025-10,13,22,9681.0,440.05,225.0,730.0
Walnut House,2025-10,12,26,19640.0,755.38,224.0,1564.3333333333333
Monarch,2025-10,16,26,16102.0,619.31,244.0,1391.5
Pecan Haus,2025-10,7,12,4520.0,376.67,222.0,549.0
Post Oak,2025-10,9,18,6996.0,388.67,162.0,726.0
Sage Safari,2025-10,14,31,17923.0,578.16,224.0,1473.0
Winecup,2025-10,17,27,14750.0,546.3,196.0,1576.0
Cypress Lodge | Sleeps 6,2025-10,7,12,7889.0,657.42,264.0,1043.0
Great Lodge: King Room,2025-10,40,81,31027.0,383.05,168.0,634.0
Diamond,2025-10,31,52,27578.0,530.35,225.0,1001.0
Spiral,2025-10,11,23,12163.0,528.83,264.0,908.0
Cypress Lodge | Sleeps 2,2025-10,20,31,11458.0,369.61,187.5,607.0
Buckeye Bungalow,2025-10,6,10,5405.0,540.5,242.0,657.0
Juniper Haus,2025-10,5,6,1741.0,290.17,203.0,377.0
Cocoon,2025-10,3,4,988.0,247.0,161.0,369.0
Live Oak Lodge,2025-11,13,25,14238.0,569.52,244.0,961.0
Buckeye Bungalow,2025-11,11,19,7806.0,410.84,211.0,900.0
Sage Safari,2025-11,15,24,10860.0,452.5,183.0,999.0
Post Oak,2025-11,19,29,10275.0,354.31,166.0,633.5
Lantana Dome,2025-11,16,26,12135.0,466.73,224.0,999.0
Monarch,2025-11,13,31,16469.0,531.26,213.0,940.0
Cedar Haus,2025-11,11,14,5105.0,364.64,198.0,577.0
Monolith,2025-11,32,59,39345.0,666.86,234.0,1207.6666666666667
Diamond,2025-11,33,64,31010.0,484.53,181.0,927.5
Spyglass,2025-11,14,28,14844.0,530.14,250.5,1036.0
Cypress Lodge | Sleeps 6,2025-11,8,15,8536.0,569.07,252.0,858.5
Great Lodge,2025-11,1,2,4700.0,2350.0,2350.0,2350.0
Quonset,2025-11,23,41,15581.0,380.02,166.0,754.5
Spiral,2025-11,13,22,13184.0,599.27,241.0,1919.0
Walnut House,2025-11,17,25,12173.0,486.92,206.0,944.3333333333334
Great Lodge: King Room,2025-11,48,73,25007.0,342.56,169.0,674.5
Pecan Haus,2025-11,7,13,4295.0,330.38,167.0,463.0
Cypress Lodge | Sleeps 2,2025-11,12,17,6350.0,373.53,166.0,618.0
Bluebonnet,2025-11,12,19,8288.0,436.21,179.0,772.0
Winecup,2025-11,12,25,10412.0,416.48,213.0,677.5
Cypress Lodge | Sleeps 4,2025-11,6,11,5182.0,471.09,255.0,1169.0
Juniper Haus,2025-11,3,7,2130.0,304.29,272.0,312.5
Cocoon,2025-11,3,3,1339.0,446.33,191.0,707.0
Spyglass,2025-12,7,15,7989.0,532.6,344.0,763.5
Bluebonnet,2025-12,8,16,5600.0,350.0,224.0,453.0
Cocoon,2025-12,7,12,4105.0,342.08,217.0,514.5
Sage Safari,2025-12,16,30,12780.0,426.0,224.0,652.6666666666666
