unit_id,month_index,day_of_week,source_used,sample_n,raw_cell_adr,fallback_adr,smooth_weight_cell,pre_hierarchy_adr,month_baseline_adr,cap_low,cap_high,post_hierarchy_adr,hierarchy_uplift,final_matrix_adr
12BR,3,Friday,lmd_smoothed_to_listing_dow,2,4843.5,3183.2250000000004,0.2,3515.2800000000007,3125.580555555555,2031.6273611111108,5000.928888888888,3600.6666666666665,85.38666666666586,3601.0
12BR,3,Saturday,lmd_smoothed_to_listing_dow,1,1076.5,2896.44,0.1111,2694.2244444444445,3125.580555555555,2031.6273611111108,5000.928888888888,3600.6666666666665,906.442222222222,3601.0
12BR,3,Sunday,listing_month_dow,5,2220.472,1869.3625563909775,,2220.472,3125.580555555555,2031.6273611111108,5000.928888888888,2220.472,0.0,2220.0
12BR,4,Monday,lmd_smoothed_to_listing_dow,1,1893.25,1664.0,0.1111,1823.7483333333334,2805.766666666667,1823.7483333333334,4489.226666666667,1823.7483333333334,0.0,1824.0
12BR,4,Tuesday,listing_month_dow,3,2289.5,1780.1927083333335,,2289.5,2805.766666666667,1823.7483333333334,4489.226666666667,1823.7483333333334,-465.75166666666655,1824.0
12BR,4,Wednesday,lmd_smoothed_to_listing_dow,2,1987.5,1779.6571428571428,0.2,1823.7483333333334,2805.766666666667,1823.7483333333334,4489.226666666667,1823.7483333333334,0.0,1824.0
12BR,4,Thursday,lmd_smoothed_to_listing_dow,2,2970.125,2872.893611111111,0.2,2892.339888888889,2805.766666666667,1823.7483333333334,4489.226666666667,2892.339888888889,0.0,2892.0
12BR,4,Friday,listing_month_dow,4,3918.8333333333335,3183.2250000000004,,3918.8333333333335,2805.766666666667,1823.7483333333334,4489.226666666667,3407.6366666666668,-511.1966666666667,3408.0
12BR,4,Saturday,listing_dow,0,,2896.44,,2896.44,2805.766666666667,1823.7483333333334,4489.226666666667,3407.6366666666668,511.1966666666667,3408.0
12BR,4,Sunday,listing_dow,0,,1869.3625563909775,,1869.3625563909775,2805.766666666667,1823.7483333333334,4489.226666666667,1869.3625563909775,0.0,1869.0
12BR,5,Monday,lmd_smoothed_to_listing_dow,1,1608.0,1664.0,0.1111,1657.7777777777778,2497.1685185185183,1623.159537037037,3995.4696296296297,1779.6571428571428,121.87936507936502,1780.0
12BR,5,Tuesday,lmd_smoothed_to_listing_dow,1,1986.0,1780.1927083333335,0.1111,1803.0601851851852,2497.1685185185183,1623.159537037037,3995.4696296296297,1779.6571428571428,-23.403042328042375,1780.0
12BR,5,Wednesday,listing_dow,0,,1779.6571428571428,,1779.6571428571428,2497.1685185185183,1623.159537037037,3995.4696296296297,1779.6571428571428,0.0,1780.0
12BR,5,Thursday,listing_month_dow,4,2912.833333333333,2872.893611111111,,2912.833333333333,2497.1685185185183,1623.159537037037,3995.4696296296297,2912.833333333333,0.0,2913.0
12BR,5,Friday,lmd_smoothed_to_listing_dow,2,2919.5,3183.2250000000004,0.2,3130.4800000000005,2497.1685185185183,1623.159537037037,3995.4696296296297,3013.46,-117.02000000000044,3013.0
